Index,Date,Airline,Flight_Num,Origin,Destination,Air_Time,Distance,Dep_Time,Hour,Delay,Cancelled (Y/N)
14652,1/1/2018,AA,1039,ORD,PIT,60,413,20:17,20,305,0
6691,1/1/2018,OO,2978,ORD,DSM,48,299,17:34,17,314,0
6771,1/1/2018,OO,3064,ORD,LSE,51,215,13:45,13,315,0
305,1/1/2018,UA,1891,ORD,SFO,240,1846,15:29,15,319,0
7616,1/1/2018,OO,5136,ORD,AVL,78,536,19:33,19,328,0
5794,1/1/2018,NK,224,ORD,LGA,91,733,11:23,11,330,0
7892,1/1/2018,OO,5439,ORD,ICT,86,588,19:57,19,462,0
8239,1/1/2018,OO,5943,ORD,COS,140,911,19:07,19,582,0
16077,1/1/2018,AA,2618,ORD,ORF,98,717,9:39,9,889,0
7571,1/1/2018,OO,5066,ORD,CKB,63,444,8:54,8,1009,0
